Gene Symbol,DESeq2 (BH adjusted p-value ),edgeR (BH adjusted p-value ),ALDEx2 (effect size),Direction of expression,Uniprot ID
TNFAIP8L1,4.30E-06,1.20E-03,,Up,Q8WVP5
TNFAIP8L2,3.20E-05,7.10E-03,,Down,Q6P589
TP53I11,4.91E-03,,-1.318,Down,O14683
TPBG,6.40E-16,6.10E-05,,Up,Q13641
TRIP10,6.00E-06,6.80E-03,,Up,Q15642
TRPM2,1.90E-05,3.10E-03,,Down,O94759
TYRO3,1.90E-05,5.30E-03,,Down,Q06418
ULBP1,7.10E-06,4.70E-05,,Up,Q9BZM6
VAV1,3.00E-06,2.80E-03,,Down,P15498
VSIG4,4.80E-08,1.10E-03,,Down,Q9Y279
VWCE,4.60E-13,7.70E-04,,Up,Q96DN2
WLS,7.70E-09,9.70E-05,,Down,Q5T9L3
WNT3,2.50E-04,5.30E-03,,Down,P56703
ZBED6CL,3.90E-03,,1.279,Up,Q96FA7
ZNF773,4.40E-09,,1.611,Up,Q6PK81
ZNF813,7.40E-05,4.00E-03,,Up,Q6ZN06
ZYG11A,1.65E-08,,2.002,Up,Q6WRX3
